,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtHeight,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SalePrice
221,0.0,8068,IR1,Inside,Gilbert,Norm,2Story,6,5,2002,2002,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,1010,1010,Ex,1010,1257,2267,0,0,2,1,4,1,Gd,8,1,TA,BuiltIn,2002.0,RFn,2,390,TA,Y,120,46,NF,12,2009,200000
222,85.0,11475,Reg,Inside,NWAmes,RRAn,2Story,6,6,1975,1975,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,No,ALQ,550,163,713,TA,811,741,1552,1,0,2,1,3,1,TA,6,1,TA,Attchd,1975.0,RFn,2,434,TA,Y,209,208,MnPrv,2,2006,179900
223,70.0,10500,Reg,FR2,NAmes,Norm,1Story,4,6,1971,1971,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,ALQ,524,160,864,Gd,864,0,864,0,0,1,0,2,1,TA,4,0,NF,Detchd,1989.0,Unf,2,576,TA,Y,216,0,NF,3,2009,97000
225,21.0,1680,Reg,Inside,BrDale,Norm,2Story,5,5,1971,1971,HdBoard,HdBoard,BrkFace,142.0,TA,TA,CBlock,TA,No,Unf,0,630,630,TA,630,672,1302,0,0,2,1,3,1,TA,6,0,NF,Detchd,1991.0,Unf,1,280,TA,Y,0,0,NF,5,2009,112000
226,82.0,9950,IR1,Inside,NoRidge,Norm,2Story,7,5,1995,1995,VinylSd,VinylSd,BrkFace,290.0,Gd,TA,PConc,Gd,No,GLQ,565,638,1203,Ex,1214,1306,2520,0,0,2,1,4,1,Gd,9,1,TA,Attchd,1995.0,RFn,3,721,TA,Y,224,114,NF,6,2007,290000
227,21.0,1869,Reg,Inside,BrDale,Norm,2Story,6,6,1970,1970,HdBoard,HdBoard,BrkFace,127.0,TA,TA,CBlock,TA,No,Rec,321,162,483,TA,483,504,987,0,0,1,1,2,1,TA,5,0,NF,Detchd,1987.0,Unf,1,280,TA,Y,0,0,NF,9,2008,106000
228,70.0,8521,Reg,FR2,Sawyer,Feedr,1Story,5,5,1967,1967,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,ALQ,842,70,912,TA,912,0,912,0,0,1,0,3,1,TA,5,1,Fa,Detchd,1974.0,Unf,1,336,TA,Y,0,0,MnPrv,5,2010,125000
229,43.0,3182,Reg,Inside,Blmngtn,Norm,1Story,7,5,2005,2006,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,Av,GLQ,16,1357,1373,Ex,1555,0,1555,0,0,2,0,2,1,Gd,7,1,TA,Attchd,2005.0,Fin,2,430,TA,Y,143,20,NF,5,2009,192500
230,73.0,8760,Reg,Inside,NAmes,Norm,1Story,6,6,1959,1959,MetalSd,MetalSd,BrkFace,220.0,TA,TA,CBlock,TA,No,Unf,0,1194,1194,TA,1194,0,1194,1,0,1,0,3,1,TA,6,0,NF,Attchd,1959.0,RFn,1,312,TA,Y,0,0,NF,4,2010,148000
232,21.0,1680,Reg,Inside,BrDale,Norm,2Story,6,5,1972,1972,HdBoard,HdBoard,BrkFace,297.0,TA,TA,CBlock,TA,No,Unf,0,483,483,TA,483,504,987,0,0,1,1,2,1,TA,5,1,Po,Attchd,1972.0,Unf,1,288,TA,Y,0,0,NF,6,2006,94500
233,75.0,10650,Reg,Corner,CollgCr,Norm,1Story,5,6,1976,1976,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Av,LwQ,182,0,894,TA,894,0,894,1,0,1,0,3,1,TA,5,0,NF,Attchd,1976.0,Unf,1,308,TA,Y,365,0,MnPrv,2,2010,128200
234,0.0,7851,Reg,Inside,Gilbert,Norm,2Story,6,5,2002,2002,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,GLQ,625,235,860,Ex,860,1100,1960,1,0,2,1,4,1,Gd,8,2,TA,BuiltIn,2002.0,Fin,2,440,TA,Y,288,48,NF,5,2010,216500
235,21.0,1680,Reg,Inside,BrDale,Norm,2Story,6,3,1971,1971,HdBoard,HdBoard,BrkFace,604.0,TA,TA,CBlock,TA,No,ALQ,358,125,483,TA,483,504,987,0,0,1,1,2,1,TA,5,0,NF,Detchd,1971.0,Unf,1,264,TA,Y,0,0,NF,8,2008,89500
236,65.0,8773,Reg,FR2,CollgCr,Norm,1Story,7,5,2004,2004,VinylSd,VinylSd,BrkFace,98.0,Gd,TA,PConc,Gd,Av,GLQ,24,1390,1414,Ex,1414,0,1414,0,0,2,0,3,1,Gd,6,0,NF,Attchd,2004.0,RFn,2,494,TA,Y,132,105,NF,5,2010,185500
237,0.0,9453,IR1,CulDSac,SawyerW,RRNe,2Story,7,7,1993,2003,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,No,BLQ,402,594,996,Ex,1014,730,1744,0,0,2,1,3,1,Gd,7,0,NF,Attchd,1993.0,RFn,2,457,TA,Y,370,70,NF,2,2010,194500
238,93.0,12030,Reg,Inside,NridgHt,Norm,1Story,8,5,2007,2007,VinylSd,VinylSd,BrkFace,254.0,Ex,TA,PConc,Ex,No,Unf,0,1694,1694,Ex,1694,0,1694,0,0,2,0,3,1,Gd,7,0,NF,Attchd,2007.0,Fin,3,818,TA,Y,168,228,NF,12,2007,318000
239,52.0,8741,Reg,Inside,Edwards,Norm,1.5Fin,6,4,1945,1950,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,No,LwQ,94,641,735,TA,798,689,1487,0,0,1,1,3,1,TA,7,1,Gd,Detchd,1949.0,Unf,1,220,TA,Y,0,140,MnPrv,4,2010,113000
240,75.0,9000,Reg,Inside,Somerst,Norm,1Story,8,5,2008,2008,VinylSd,VinylSd,Stone,36.0,Gd,TA,PConc,Gd,Av,GLQ,1078,488,1566,Ex,1566,0,1566,1,0,2,0,3,1,Gd,7,0,NF,Attchd,2008.0,RFn,2,750,TA,Y,144,168,NF,4,2010,262500
241,40.0,3880,Reg,Inside,OldTown,Norm,1Story,5,9,1945,1997,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,ALQ,329,357,686,Gd,866,0,866,0,0,1,0,2,1,Gd,4,0,NF,NG,1978.3685393258427,NG,0,0,NG,Y,58,42,NF,8,2007,110500
242,63.0,5000,Reg,Corner,OldTown,Norm,1.5Fin,5,4,1900,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,540,540,Gd,889,551,1440,0,0,1,0,3,1,TA,6,0,NF,Attchd,1940.0,Unf,1,352,TA,Y,0,0,NF,4,2006,79000
243,75.0,10762,Reg,Corner,SawyerW,Norm,2Story,6,6,1980,1980,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,No,Unf,0,626,626,TA,626,591,1217,0,0,1,1,3,1,TA,6,1,TA,Attchd,1980.0,RFn,1,288,TA,Y,0,28,NF,4,2009,120000
244,0.0,8880,IR1,Inside,SawyerW,Norm,2Story,7,5,1994,2002,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,GLQ,695,253,948,Ex,1222,888,2110,1,0,2,1,3,1,Gd,8,2,Fa,Attchd,1994.0,RFn,2,463,TA,Y,0,130,NF,5,2010,205000
245,80.0,10400,Reg,Inside,NWAmes,Norm,1Story,7,5,1988,1988,Wd Sdng,Wd Sdng,BrkFace,102.0,TA,TA,CBlock,Gd,Av,GLQ,929,916,1845,Gd,1872,0,1872,0,1,2,0,3,1,TA,6,1,TA,Attchd,1988.0,Fin,2,604,TA,Y,197,39,NF,6,2006,241500
246,69.0,9142,Reg,Inside,OldTown,Norm,2Story,6,8,1910,1950,AsbShng,AsbShng,None,0.0,TA,Fa,Stone,Fa,No,Unf,0,1020,1020,Gd,908,1020,1928,0,0,2,0,4,2,Fa,9,0,NF,Detchd,1910.0,Unf,1,440,Po,Y,0,60,NF,4,2006,137000
247,75.0,11310,Reg,Inside,NAmes,Norm,1Story,6,5,1954,1954,Wd Sdng,BrkFace,None,0.0,TA,TA,CBlock,TA,No,Unf,0,1367,1367,Ex,1375,0,1375,0,0,1,0,2,1,TA,5,1,TA,Attchd,1954.0,Unf,2,451,TA,Y,0,30,NF,6,2006,140000
248,72.0,11317,Reg,Inside,CollgCr,Norm,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,101.0,Gd,TA,PConc,Gd,No,Unf,0,840,840,Ex,840,828,1668,0,0,2,1,3,1,Gd,8,0,NF,Attchd,2003.0,RFn,2,500,TA,Y,144,68,NF,9,2007,180000
250,55.0,5350,IR1,Inside,BrkSide,Norm,1Story,3,2,1940,1966,Wd Sdng,Plywood,None,0.0,TA,Po,CBlock,TA,No,Unf,0,728,728,Ex,1306,0,1306,0,0,1,0,3,1,Fa,6,0,NF,NG,1978.3685393258427,NG,0,0,NG,Y,263,0,GdWo,5,2010,76500
251,44.0,4750,IR1,Inside,Crawfor,Norm,1Story,8,5,2006,2007,VinylSd,VinylSd,Stone,481.0,Gd,TA,PConc,Gd,Gd,GLQ,1573,0,1573,Ex,1625,0,1625,1,1,2,0,2,1,Gd,5,1,Gd,Attchd,2006.0,Fin,2,538,TA,Y,123,0,NF,12,2007,235000
252,65.0,8366,IR1,Inside,SawyerW,Norm,2Story,6,5,2004,2004,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,798,798,Ex,798,842,1640,0,0,2,1,3,1,Gd,6,0,NF,Attchd,2004.0,RFn,2,520,TA,Y,138,45,NF,12,2008,173000
253,85.0,9350,Reg,Inside,NAmes,Norm,SLvl,6,7,1964,1991,HdBoard,HdBoard,BrkFace,108.0,TA,TA,CBlock,Gd,Gd,LwQ,270,452,1302,Ex,1302,0,1302,0,1,2,0,3,1,Gd,7,0,NF,Attchd,1964.0,RFn,1,309,TA,Y,333,0,MnPrv,10,2007,158000
254,70.0,8400,Reg,Inside,NAmes,Norm,1Story,5,6,1957,1957,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,No,Rec,922,392,1314,TA,1314,0,1314,1,0,1,0,3,1,TA,5,0,NF,Attchd,1957.0,RFn,1,294,TA,Y,250,0,NF,6,2010,145000
255,66.0,8738,IR1,Inside,Gilbert,Norm,2Story,7,5,1999,1999,VinylSd,VinylSd,BrkFace,302.0,Gd,TA,PConc,Gd,No,Unf,0,975,975,Ex,1005,1286,2291,0,0,2,1,4,1,Gd,8,1,TA,BuiltIn,1999.0,Fin,2,429,TA,Y,192,0,NF,2,2006,230000
256,64.0,8791,IR1,Inside,Somerst,Norm,2Story,6,5,2003,2003,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Rec,503,361,864,Ex,864,864,1728,0,0,2,1,3,1,Gd,7,0,NF,Attchd,2003.0,RFn,2,673,TA,Y,216,56,NF,5,2008,207500
257,68.0,8814,Reg,Inside,CollgCr,Norm,1Story,7,5,2006,2006,VinylSd,VinylSd,Stone,180.0,Gd,TA,PConc,Gd,No,GLQ,1334,270,1604,Ex,1604,0,1604,1,0,2,1,3,1,Gd,8,1,Gd,Attchd,2006.0,RFn,2,660,TA,Y,123,110,NF,3,2009,220000
258,80.0,12435,Reg,Inside,CollgCr,Norm,2Story,7,5,2001,2001,VinylSd,VinylSd,BrkFace,172.0,Gd,TA,PConc,Gd,No,GLQ,361,602,963,Ex,963,829,1792,0,0,2,1,3,1,Gd,7,1,TA,Attchd,2001.0,RFn,2,564,TA,Y,0,96,NF,5,2008,231500
259,70.0,12702,Reg,Inside,OldTown,Norm,1Story,5,5,1956,1956,BrkFace,BrkFace,None,0.0,TA,TA,PConc,NB,NB,NB,0,0,0,Gd,882,0,882,0,0,1,0,2,1,TA,4,0,NF,Detchd,1956.0,Unf,1,308,TA,Y,0,45,NF,12,2008,97000
260,120.0,19296,Reg,Corner,NAmes,Artery,SLvl,6,5,1962,1962,Wd Sdng,Wd Sdng,BrkFace,399.0,TA,TA,CBlock,TA,Gd,Rec,672,0,1362,TA,1382,0,1382,1,0,1,0,3,1,TA,6,1,TA,Attchd,1991.0,Unf,2,884,TA,Y,0,0,GdWo,5,2009,176000
261,69.0,9588,IR1,Inside,CollgCr,Norm,2Story,8,5,2007,2007,CemntBd,CmentBd,Stone,270.0,Gd,TA,PConc,Ex,No,Unf,0,1482,1482,Ex,1482,1092,2574,0,0,2,1,3,1,Ex,10,1,Gd,BuiltIn,2007.0,Fin,3,868,TA,Y,0,148,NF,11,2007,276000
262,88.0,8471,IR1,Corner,Sawyer,Norm,SLvl,6,7,1977,1995,HdBoard,Plywood,BrkFace,46.0,TA,TA,CBlock,Gd,Av,ALQ,506,0,506,TA,1212,0,1212,1,0,1,0,3,1,TA,6,1,TA,Attchd,1978.0,Unf,2,492,TA,Y,292,12,GdWo,7,2006,151000
263,50.0,5500,Reg,Corner,OldTown,Norm,1.5Fin,5,7,1929,2001,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,LwQ,234,0,926,TA,926,0,1316,1,0,1,0,3,1,TA,6,0,NF,Detchd,1974.0,Unf,2,484,TA,Y,0,0,NF,4,2010,130000
264,30.0,5232,IR3,Inside,OldTown,Artery,1Story,5,5,1925,2004,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,No,Unf,0,680,680,Gd,764,0,764,0,0,1,0,2,1,TA,4,0,NF,Detchd,1965.0,Unf,2,504,TA,N,0,0,NF,6,2008,73000
265,78.0,12090,IR1,Inside,NWAmes,Norm,1Story,6,6,1981,1981,MetalSd,MetalSd,BrkFace,210.0,TA,Gd,CBlock,Gd,No,GLQ,588,606,1422,TA,1422,0,1422,0,0,2,0,3,1,Gd,7,1,TA,Attchd,1981.0,Fin,2,576,TA,Y,276,0,GdPrv,6,2008,175500
266,70.0,11207,IR1,FR2,Gilbert,Norm,2Story,6,5,1997,1997,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,Av,GLQ,714,88,802,Gd,802,709,1511,1,0,2,1,3,1,TA,8,1,TA,Attchd,1997.0,Fin,2,413,TA,Y,95,75,NF,6,2006,185000
267,60.0,8400,Reg,Inside,SWISU,Norm,2.5Fin,5,8,1939,1997,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,LwQ,378,342,720,Ex,1052,720,2192,0,0,2,1,4,1,Gd,8,1,Gd,Detchd,1939.0,Unf,1,240,TA,Y,262,24,NF,7,2008,179500
268,71.0,6900,Reg,Inside,IDOTRR,Norm,1Story,5,6,1940,1955,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,No,ALQ,403,212,740,Ex,778,0,778,0,0,1,0,2,1,TA,4,1,Gd,Detchd,1966.0,Fin,1,924,Ex,Y,0,25,NF,2,2008,120500
269,0.0,7917,IR1,Corner,Edwards,Norm,1Story,6,7,1976,1976,HdBoard,HdBoard,BrkFace,174.0,TA,Gd,CBlock,TA,No,BLQ,751,392,1143,TA,1113,0,1113,1,0,1,1,3,1,TA,6,1,Fa,Attchd,1987.0,RFn,1,504,Gd,Y,370,30,GdPrv,5,2007,148000
270,84.0,10728,Reg,Inside,Somerst,Norm,2Story,8,5,2006,2006,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Mn,Unf,0,1095,1095,Gd,1095,844,1939,0,0,2,1,3,1,Gd,8,1,Gd,Attchd,2006.0,RFn,3,1053,TA,Y,192,51,NF,8,2006,266000
272,92.0,11764,IR1,CulDSac,NoRidge,Norm,2Story,8,7,1999,2007,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,No,GLQ,524,628,1152,Ex,1164,1106,2270,0,0,2,1,4,1,Gd,9,1,Gd,Attchd,1999.0,Fin,3,671,TA,Y,132,57,NF,4,2010,290000
273,80.0,9600,Reg,Inside,NAmes,Feedr,1Story,6,6,1958,1988,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,No,Rec,620,0,1240,Gd,1632,0,1632,1,0,2,0,3,1,TA,6,1,Gd,Attchd,1958.0,RFn,1,338,TA,Y,289,0,MnPrv,4,2009,139000
274,76.0,8314,Reg,Corner,Mitchel,Norm,1Story,5,7,1982,1982,HdBoard,ImStucc,None,0.0,TA,TA,CBlock,TA,Gd,ALQ,546,270,816,TA,816,0,816,0,0,1,0,2,1,TA,5,0,NF,Attchd,1982.0,Unf,1,264,TA,Y,168,0,NF,6,2007,124500
275,55.0,7264,Reg,Inside,BrkSide,Norm,1.5Fin,7,7,1925,2007,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,No,Unf,0,952,952,Gd,952,596,1548,0,0,2,1,3,1,Ex,5,0,NF,Detchd,1978.0,Unf,2,672,TA,Y,74,0,NF,10,2009,205000
276,129.0,9196,IR1,Inside,Mitchel,Norm,1Story,7,5,2003,2003,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,No,Unf,0,1560,1560,Ex,1560,0,1560,0,0,2,0,3,1,Gd,7,0,NF,Attchd,2003.0,Fin,2,573,TA,Y,100,150,NF,4,2010,201000
278,107.0,14450,Reg,Inside,NridgHt,Norm,1Story,9,5,2006,2007,CemntBd,CmentBd,BrkFace,315.0,Ex,TA,PConc,Ex,Gd,Unf,0,2121,2121,Ex,2121,0,2121,0,0,2,1,3,1,Ex,8,1,Ex,Attchd,2007.0,Fin,3,732,TA,Y,124,98,NF,5,2007,415298
279,83.0,10005,Reg,Inside,ClearCr,Norm,2Story,7,5,1977,1977,Plywood,Plywood,BrkFace,299.0,TA,TA,CBlock,Gd,No,BLQ,392,768,1160,Ex,1156,866,2022,0,0,2,1,4,1,TA,8,1,TA,Attchd,1977.0,Fin,2,505,TA,Y,288,117,NF,3,2008,192000
280,82.0,11287,Reg,Inside,SawyerW,Norm,2Story,7,6,1989,1989,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,Av,GLQ,421,386,807,Gd,1175,807,1982,0,0,2,1,3,1,Gd,7,1,TA,Attchd,1989.0,Fin,2,575,TA,Y,0,84,NF,1,2007,228500
281,60.0,7200,Reg,Inside,Somerst,Norm,1Story,6,5,2006,2006,VinylSd,VinylSd,Stone,68.0,Gd,TA,PConc,Gd,No,GLQ,905,357,1262,Gd,1262,0,1262,0,0,2,0,2,1,Gd,5,0,NF,Attchd,2006.0,Fin,2,572,TA,Y,0,120,NF,5,2006,185000
282,34.0,5063,Reg,Inside,NridgHt,Norm,1Story,7,5,2007,2008,VinylSd,VinylSd,Stone,166.0,Gd,TA,PConc,Gd,No,GLQ,904,410,1314,Ex,1314,0,1314,1,0,2,0,2,1,Gd,6,1,Gd,Attchd,2008.0,RFn,2,626,TA,Y,172,62,NF,4,2009,207500
283,74.0,9612,Reg,Inside,Somerst,Feedr,1Story,8,5,2008,2009,VinylSd,VinylSd,Stone,72.0,Gd,TA,PConc,Gd,No,Unf,0,1468,1468,Ex,1468,0,1468,0,0,2,0,3,1,Gd,6,1,Gd,Attchd,2008.0,Fin,3,898,TA,Y,210,150,NF,12,2009,244600
284,50.0,8012,Reg,Inside,SawyerW,Norm,1Story,6,5,1992,1992,Plywood,ImStucc,None,0.0,Gd,TA,PConc,Gd,No,GLQ,430,1145,1575,Gd,1575,0,1575,1,0,2,0,2,1,Gd,5,0,NF,Attchd,1992.0,RFn,2,529,TA,Y,0,0,NF,7,2007,179200
285,35.0,4251,IR1,Inside,Somerst,Norm,2Story,7,5,2006,2007,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,625,625,Ex,625,625,1250,0,0,2,1,2,1,Gd,5,0,NF,Detchd,2006.0,RFn,2,528,TA,Y,0,54,NF,6,2007,164700
286,77.0,9786,IR1,Inside,NAmes,Norm,1.5Fin,6,7,1962,1981,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,Rec,600,312,912,TA,1085,649,1734,0,0,1,1,3,1,Gd,7,1,Gd,Attchd,1962.0,RFn,2,440,TA,Y,0,0,GdPrv,6,2006,159000
287,0.0,8125,IR1,Corner,NAmes,Norm,1Story,4,4,1971,1971,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,BLQ,614,244,858,TA,858,0,858,0,0,1,0,3,1,TA,5,0,NF,NG,1978.3685393258427,NG,0,0,NG,Y,0,0,NF,6,2006,88000
288,0.0,9819,IR1,Inside,Sawyer,Norm,1Story,5,5,1967,1967,MetalSd,MetalSd,BrkFace,31.0,TA,Gd,CBlock,TA,No,BLQ,450,432,882,TA,900,0,900,0,0,1,0,3,1,TA,5,0,NF,Detchd,1970.0,Unf,1,280,TA,Y,0,0,MnPrv,2,2010,122000
289,60.0,8730,Reg,Inside,BrkSide,RRAn,2Story,6,7,1915,2003,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,698,698,Ex,698,698,1396,0,0,1,0,3,1,TA,7,0,NF,Detchd,2003.0,Unf,1,384,TA,Y,0,0,NF,7,2007,153575
290,120.0,15611,Reg,Inside,CollgCr,Norm,2Story,8,5,2006,2006,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,Unf,0,1079,1079,Ex,1079,840,1919,0,0,2,1,3,1,Gd,8,1,Gd,Attchd,2006.0,RFn,2,685,TA,Y,0,51,NF,7,2006,233230
291,55.0,5687,Reg,Inside,SWISU,Norm,2Story,5,6,1912,2000,VinylSd,VinylSd,None,0.0,TA,Fa,PConc,TA,No,Rec,210,570,780,Ex,936,780,1716,1,0,2,0,6,1,Fa,9,0,NF,NG,1978.3685393258427,NG,0,0,NG,N,0,184,NF,3,2008,135900
292,60.0,11409,Reg,Inside,Edwards,Norm,1.5Fin,5,4,1949,2008,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,LwQ,292,476,768,Gd,1148,568,1716,0,0,1,1,3,1,TA,8,1,Gd,Attchd,1949.0,Unf,1,281,TA,Y,0,0,NF,1,2009,131000
293,0.0,16659,IR1,Corner,NWAmes,PosA,2Story,7,7,1977,1994,Plywood,Plywood,BrkFace,34.0,TA,TA,CBlock,TA,No,ALQ,795,0,795,Fa,1468,795,2263,1,0,2,1,3,1,Gd,9,1,TA,Attchd,1977.0,Fin,2,539,TA,Y,0,250,NF,3,2006,235000
294,80.0,9600,Reg,Inside,NAmes,Norm,1Story,6,5,1953,1953,HdBoard,HdBoard,Stone,238.0,TA,TA,CBlock,TA,No,GLQ,1285,131,1416,TA,1644,0,1644,1,0,1,0,3,1,TA,7,2,Gd,Attchd,1953.0,Fin,2,418,TA,Y,110,0,NF,10,2009,167000
295,37.0,7937,IR1,CulDSac,Mitchel,Norm,SLvl,6,6,1984,1984,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Av,GLQ,819,184,1003,TA,1003,0,1003,1,0,1,0,3,1,TA,6,0,NF,Detchd,1984.0,Unf,2,588,TA,Y,120,0,GdPrv,3,2006,142500
296,75.0,13710,Reg,Inside,IDOTRR,Norm,1.5Fin,5,5,1950,1950,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,BLQ,420,490,910,TA,910,648,1558,0,0,1,1,4,1,TA,6,0,NF,Attchd,1950.0,Unf,1,282,TA,Y,289,0,MnPrv,6,2007,152000
298,90.0,11700,Reg,Inside,NWAmes,Norm,2Story,6,6,1968,1968,HdBoard,AsphShn,BrkFace,365.0,Gd,TA,CBlock,TA,No,ALQ,384,143,702,Gd,1041,702,1743,0,1,1,2,3,1,TA,7,1,Gd,Attchd,1968.0,Unf,2,539,TA,Y,224,0,NF,6,2007,175000
299,80.0,14000,Reg,Inside,Crawfor,Norm,1Story,6,8,1950,2004,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,No,Unf,0,1092,1092,Ex,1152,0,1152,0,1,1,0,3,1,Gd,6,1,Gd,Attchd,1950.0,Unf,1,300,TA,Y,0,36,GdPrv,8,2009,158500
300,90.0,15750,Reg,Corner,Crawfor,Norm,1Story,5,5,1953,1953,MetalSd,MetalSd,BrkFace,56.0,TA,TA,CBlock,TA,Mn,BLQ,841,324,1165,TA,1336,0,1336,1,0,1,0,2,1,TA,5,2,Gd,Attchd,1953.0,Unf,1,375,TA,Y,0,0,NF,6,2006,157000
301,66.0,16226,IR3,Inside,CollgCr,Norm,2Story,8,5,1998,1999,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,GLQ,281,747,1028,Ex,1210,1242,2452,0,0,2,1,4,1,Gd,9,1,TA,BuiltIn,1998.0,Fin,2,683,TA,Y,208,50,NF,5,2007,267000
302,118.0,13704,IR1,Corner,CollgCr,Norm,1Story,7,5,2001,2002,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,No,Unf,0,1541,1541,Ex,1541,0,1541,0,0,2,0,3,1,Gd,6,1,TA,Attchd,2001.0,RFn,3,843,TA,Y,468,81,NF,1,2006,205000
303,70.0,9800,Reg,Corner,CollgCr,Norm,1Story,5,7,1972,1972,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,ALQ,894,0,894,TA,894,0,894,1,0,1,0,3,1,TA,5,0,NF,Attchd,1975.0,Unf,2,552,TA,Y,256,0,GdWo,7,2006,149900
304,87.0,18386,Reg,Inside,OldTown,Norm,2.5Fin,7,9,1880,2002,CemntBd,CmentBd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,1470,1470,Ex,1675,1818,3493,0,0,3,0,3,1,Gd,10,1,Ex,Attchd,2003.0,Unf,3,870,TA,Y,302,0,NF,5,2008,295000
305,80.0,10386,Reg,Inside,CollgCr,Norm,1Story,8,5,2004,2005,CemntBd,CmentBd,Stone,246.0,Gd,TA,PConc,Gd,No,GLQ,1464,536,2000,Ex,2000,0,2000,1,0,2,0,3,1,Gd,8,0,NF,Attchd,2004.0,Fin,3,888,TA,Y,168,0,NF,7,2007,305900
306,116.0,13474,Reg,Inside,SawyerW,Feedr,2Story,7,5,1990,1991,HdBoard,Plywood,BrkFace,246.0,Gd,TA,CBlock,Gd,No,ALQ,700,0,700,Gd,1122,1121,2243,1,0,2,1,4,1,Gd,8,1,TA,Attchd,1990.0,RFn,3,746,TA,Y,127,44,NF,6,2007,225000
307,0.0,7920,IR1,Inside,IDOTRR,Artery,1.5Fin,6,7,1920,1950,MetalSd,MetalSd,None,0.0,TA,Fa,CBlock,TA,No,Unf,0,319,319,TA,1035,371,1406,0,0,1,0,3,1,Fa,6,0,NF,NG,1978.3685393258427,NG,0,0,NG,N,0,144,MnPrv,3,2008,89500
308,0.0,12342,IR1,Inside,Edwards,Norm,1Story,4,5,1940,1950,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,No,BLQ,262,599,861,Ex,861,0,861,0,0,1,0,1,1,TA,4,0,NF,Detchd,1961.0,Unf,2,539,TA,Y,158,0,NF,3,2009,82500
309,90.0,12378,IR1,Inside,NridgHt,Norm,1Story,9,5,2003,2004,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Gd,GLQ,1274,622,1896,Ex,1944,0,1944,1,0,2,0,3,1,Ex,8,3,Ex,Attchd,2003.0,Fin,3,708,TA,Y,208,175,NF,11,2006,360000
